SAGDP2N Gross domestic product (GDP) by state 1
SAGDP2N Gross domestic product (GDP) by state 1
State or DC
GeoFips,GeoName,2017,2018,2019,2020,2021,2022
00000,United States *,19612102.0,20656516.0,21521395.0,21322950.0,23594031.0,25744108.0
01000,Alabama,216615.5,226263.8,234526.4,235118.3,257986.5,281569.0
02000,Alaska,53550.9,54762.0,54469.9,51261.5,58646.0,65698.8
04000,Arizona,333099.0,353671.0,375545.0,386443.5,432279.8,475653.7
05000,Arkansas,123882.6,129213.8,132637.2,135884.5,151931.9,165989.3
06000,California,2740550.3,2899530.9,3062158.9,3068809.4,3416939.4,3641643.4
08000,Colorado,350209.1,373923.1,397701.6,397612.2,447051.7,491289.0
09000,Connecticut,273875.1,280535.4,285466.4,275801.9,295907.5,319344.8
10000,Delaware,69555.6,73376.0,78685.8,77615.1,82952.8,90208.3
11000,District of Columbia,134298.8,141240.2,145171.0,146935.3,156139.9,165060.5
12000,Florida,1014866.9,1072085.6,1127988.6,1140133.0,1292391.3,1439065.0
13000,Georgia,583543.3,612803.4,646939.0,637930.6,701606.1,767377.6
15000,Hawaii,87436.4,90933.5,93356.2,84615.2,93089.8,101082.6
16000,Idaho,72935.1,79072.4,84550.2,88187.7,98792.8,110871.1
17000,Illinois,832826.8,871024.2,895800.0,860747.5,943993.3,1025667.2
18000,Indiana,357535.8,377376.9,385446.2,377901.1,422951.9,470323.6
19000,Iowa,187125.0,193155.1,196085.1,199447.0,220818.2,238342.3
20000,Kansas,166273.6,173373.0,176917.7,177720.6,191831.7,209326.1
21000,Kentucky,203564.0,210509.1,220683.3,218755.2,237925.9,258981.2
22000,Louisiana,239830.7,256444.4,257096.7,236135.9,263162.7,291951.9
23000,Maine,63000.6,66216.0,69298.2,72091.6,78918.4,85801.2
24000,Maryland,399714.5,410771.8,419447.6,413417.7,446941.0,480112.7
25000,Massachusetts,530129.4,559605.0,588617.5,589033.3,645434.0,691460.6
26000,Michigan,505101.5,525240.8,536975.6,530231.1,576502.2,622562.7
27000,Minnesota,354721.9,372439.2,383961.6,379438.7,413063.1,448032.4
28000,Mississippi,110281.4,113166.4,115441.7,116193.1,128364.5,139976.4
29000,Missouri,311273.8,320451.6,334364.7,335278.3,365145.4,396889.9
30000,Montana,48470.5,51152.1,52772.5,53130.7,59996.7,67071.9
31000,Nebraska,123219.9,127954.4,132741.0,135285.0,149360.3,164933.9
32000,Nevada,163199.1,172547.9,184343.9,175982.0,200127.3,222938.6
33000,New Hampshire,81179.6,83859.4,87472.0,88589.4,99100.0,105024.6
34000,New Jersey,590086.7,619340.2,641877.6,630212.7,692227.3,754948.2
35000,New Mexico,93210.1,98838.2,103869.2,100434.5,111730.6,125540.6
36000,New York,1624800.7,1710665.6,1793261.3,1766857.4,1911345.8,2048402.6
37000,North Carolina,546810.1,568037.3,593126.9,601148.7,659529.3,715968.3
38000,North Dakota,56530.2,60377.1,60516.3,55347.6,63208.6,72651.3
39000,Ohio,652187.5,672540.1,703127.8,692121.9,759626.2,825990.0
40000,Oklahoma,192538.6,204193.9,205262.6,191653.5,217730.8,242738.5
41000,Oregon,225534.5,238466.9,248939.8,251855.8,275444.0,297308.9
42000,Pennsylvania,754318.0,780620.7,803078.0,777427.1,844391.6,911813.3
44000,Rhode Island,58771.6,60064.9,62526.9,62054.2,67236.7,72771.4
45000,South Carolina,224937.6,236561.7,248046.5,249482.2,271494.5,297546.3
46000,South Dakota,51615.1,53349.5,55007.4,56162.9,62607.1,68781.7
47000,Tennessee,355417.5,369713.2,385819.5,390172.6,438180.0,485657.5
48000,Texas,1667313.0,1808026.9,1860108.3,1798596.1,2087490.9,2402137.2
49000,Utah,172075.0,186805.7,201285.4,205666.3,232125.1,256369.9
50000,Vermont,32589.2,33482.6,34628.1,34470.8,37593.5,40830.8
51000,Virginia,515167.2,537158.3,561989.6,565063.1,613920.3,663105.5
53000,Washington,527169.4,570337.8,608966.4,621493.2,688631.9,738101.4
54000,West Virginia,75172.4,79794.3,79883.8,76975.9,86509.9,97417.3
55000,Wisconsin,321886.8,335144.3,347398.6,343783.0,369032.4,396209.3
56000,Wyoming,37620.3,39614.5,39971.4,36675.5,42176.2,49080.6
91000,New England,1039545.4,1083763.3,1128009.1,1122041.1,1224190.1,1315233.3
92000,Mideast,3572774.4,3736014.5,3881521.3,3812465.3,4133998.4,4450545.6
93000,Great Lakes,2669538.3,2781326.3,2868748.2,2804784.6,3072106.1,3340752.8
94000,Plains,1250759.3,1301100.0,1339593.8,1338680.0,1466034.5,1598957.7
95000,Southeast,4210089.2,4411751.3,4604179.2,4602993.0,5103002.8,5604605.3
96000,Southwest,2286160.7,2464730.0,2544785.1,2477127.6,2849232.1,3246070.0
97000,Rocky Mountain,681310.1,730567.7,776281.1,781272.4,880142.5,974682.6
98000,Far West,3797440.5,4026579.0,4252235.2,4254017.1,4732878.5,5066773.7

Legend/Footnotes
1. Gross Domestic Product (GDP) is in millions of current dollars (not adjusted for inflation). Industry detail is based on the 2017 North American Industry Classification System (NAICS). Calculations are performed on unrounded data.
"* For the all industry total, government and government enterprises, federal civilian, and military, the difference between the United States and sum-of-states reflects overseas activity, economic activity taking place outside the borders of the United States by the military and associated federal civilian support staff."
"  Last updated: September 29, 2023-- revised statistics for 2017-2022."
